ONT|33.94,-117.64|2018-11-23 12:14:43|Sunny|37.3|898.9|65.6
DAG|34.94,-116.64|2018-12-13 16:25:04|Rain|20.4|1020.0|63.9
LAS|35.94,-115.64|2018-11-21 13:11:39|Snow|-5.1|1064.9|59.8
LSV|36.94,-114.64|2018-11-16 10:52:56|Snow|-3.8|1134.3|63.6
CDC|37.94,-113.64|2018-12-29 08:01:02|Rain|21.7|1183.6|62.9
CDC|38.94,-112.64|2018-12-04 13:49:21|Rain|22.0|1014.8|65.0
PVU|39.94,-111.64|2019-01-03 05:10:05|Snow|-4.1|1029.6|68.5
EVW|40.94,-110.64|2019-01-20 02:49:32|Rain|22.1|1108.4|68.9
RKS|41.94,-109.64|2019-01-09 18:19:38|Rain|22.2|953.5|66.1
LND|42.94,-108.64|2018-11-19 23:11:06|Rain|21.5|856.9|64.0
