ONT|33.94,-117.64|2019-01-26 13:48:21|Rain|24.2|809.8|60.4
DAG|34.94,-116.64|2018-12-02 00:26:27|Sunny|28.9|915.4|66.6
LAS|35.94,-115.64|2018-12-05 09:25:07|Sunny|10.3|729.5|57.6
LSV|36.94,-114.64|2018-12-22 11:19:33|Sunny|12.5|1164.6|65.4
CDC|37.94,-113.64|2019-02-02 01:26:14|Rain|16.6|1193.6|62.6
CDC|38.94,-112.64|2019-02-05 16:39:21|Rain|24.6|825.9|59.6
PVU|39.94,-111.64|2018-11-14 03:02:11|Sunny|18.1|1157.1|57.0
EVW|40.94,-110.64|2018-12-15 08:33:31|Sunny|18.2|793.1|65.8
RKS|41.94,-109.64|2019-01-16 12:32:28|Rain|24.5|1078.3|64.2
LND|42.94,-108.64|2018-12-21 10:12:17|Sunny|38.7|769.4|56.9
